lon,lat,FragmentationMeasureType
4.700256,51.41069,Kleine ecotunnel
4.436208,51.145238,Amfibieëntunnel
4.904472,50.81508,Amfibieëntunnel
4.52967,51.04871,Kleine ecotunnel
5.462107,50.783019,Kleine ecotunnel
5.435031,51.132319,Amfibieëntunnel
5.435749,51.132596,Amfibieëntunnel
5.436447,51.132872,Amfibieëntunnel
4.451118,51.381081,Boombrug
4.449116,51.377103,Boombrug
4.446803,51.373554,Boombrug
3.317879,51.312521,Ecoduiker
3.317091,51.311625,Ecoduiker
3.313292,51.307677,Ecoduiker
3.310557,51.314503,Ecoduiker
3.258332,51.303161,Ecoduiker
3.225675,51.28088,Ecoduiker
3.195493,51.267735,Ecoduiker
3.196665,51.268169,Ecoduiker
3.197282,51.268363,Ecoduiker
3.196151,51.262105,Tunnel met medegebruik fauna
4.820417,51.265611,Kleine ecotunnel
4.832041,51.272517,Kleine ecotunnel
4.838423,51.276257,Kleine ecotunnel
3.311542,51.31466,Ecoduiker
5.29424,51.120392,Oversteek
5.331281,51.1241,Oversteek
