Postcode,GeneralMailName,DepEnvironmentMailName,Domain
8920,'info',            '', '@langemark-poelkapelle.be'
8930,'info',            '', '@menen.be'
8940,'info',            '', '@wervik.be'
8956,'info',            '', '@heuvelland.be'
8957,'info',            '', '@mesen.be'
8970,'info',            '', '@poperinge.be'
8980,'info',            '', '@zonnebeke.be'
9000,'gentinfo',        '', '@stad.gent'
9060,'onthaal',         '', '@zelzate.be'
9070,'info',            '', '@destelbergen.be'
9080,'info',            '', '@lochristi.be'
9100,'info',            '', '@sint-niklaas.be'
9120,'info',            '', '@beveren.be'
9140,'info',            '', '@temse.be'
9160,'infopunt',        '', '@lokeren.be'
9170,'info',            '', '@sint-gillis-waas.be'
9190,'info',            '', '@stekene.be'
9200,'stadsbestuur',    '', '@dendermonde.be'
9220,'gemeente',        '', '@hamme.be'
9230,'wetteren',        '', '@wetteren.be'
9240,'info',            '', '@zele.be'
9250,'informatie',      '', '@waasmunster.be'
9255,'info',            '', '@buggenhout.be'
9260,'lokaalbestuur',   '', '@wichelen.be'
9270,'info',            '', '@laarne.be'
9280,'gemeentebestuur', '', '@lebbeke.be'
9290,'secretariaat',    '', '@berlare.be'
9300,'info',            '', '@aalst.be'
9340,'info',            '', '@lede.be'
9400,'stadsbestuur',    '', '@ninove.be'
9420,'gemeentebestuur', '', '@erpe-mere.be'
9450,'info',            '', '@haaltert.be'
9470,'lokaalbestuur',   '', '@denderleeuw.be'
9500,'info',            '', '@geraardsbergen.be'
9520,'gemeente',        '', '@sint-lievens-houtem.be'
9550,'info',            '', '@herzele.be'
9570,'communicatie',    '', '@lierde.be'
9600,'info',            '', '@ronse.be'
9620,'info',            '', '@zottegem.be'
9630,'info',            '', '@zwalm.be'
9660,'secretariaat',    '', '@brakel.be'
9667,'info',            '', '@horebeke.be'
9680,'info',            '', '@maarkedal.be'
9690,'info',            '', '@kluisbergen.be'
9700,'info',            '', '@oudenaarde.be'
9770,'info',            '', '@kruisem.be'
9790,'gemeente',        '', '@wortegem-petegem.be'
9820,'info',            '', '@merelbeke-melle.be'
9830,'gemeente',        '', '@sint-martens-latem.be'
9840,'info',            '', '@nazarethdepinte.be'
9850,'info',            '', '@deinze.be'
9860,'info',            '', '@oosterzele.be'
9870,'info',            '', '@zulte.be'
9890,'info',            '', '@gavere.be'
9900,'info',            '', '@eeklo.be'
9920,'info',            '', '@lievegem.be'
9940,'info',            '', '@evergem.be'
9960,'info',            '', '@assenede.be'
9970,'info',            '', '@kaprijke.be'
9980,'gemeente',        '', '@sint-laureins.be'
9990,'info',            '', '@maldegem.be'
